Start of repitition 16: RAM Usage: 2096 MB
End of repitition 16: RAM Usage: 35098 MB
Start of repitition 17: RAM Usage: 2096 MB
End of repitition 17: RAM Usage: 36460 MB
Start of repitition 18: RAM Usage: 2096 MB
End of repitition 18: RAM Usage: 37822 MB
Start of repitition 19: RAM Usage: 2096 MB
End of repitition 19: RAM Usage: 39184 MB
Start of repitition 20: RAM Usage: 2096 MB
End of repitition 20: RAM Usage: 40546 MB
Start of repitition 21: RAM Usage: 2096 MB
End of repitition 21: RAM Usage: 41908 MB
Start of repitition 22: RAM Usage: 2096 MB
End of repitition 22: RAM Usage: 43270 MB
Start of repitition 23: RAM Usage: 2096 MB
End of repitition 23: RAM Usage: 44632 MB
Start of repitition 24: RAM Usage: 2096 MB
End of repitition 24: RAM Usage: 45994 MB
Start of repitition 25: RAM Usage: 2096 MB
End of repitition 25: RAM Usage: 47356 MB
Start of repitition 26: RAM Usage: 2096 MB
End of repitition 26: RAM Usage: 48718 MB
Start of repitition 27: RAM Usage: 2096 MB
End of repitition 27: RAM Usage: 50080 MB
Start of repitition 28: RAM Usage: 2096 MB
End of repitition 28: RAM Usage: 51442 MB
Start of repitition 29: RAM Usage: 2096 MB
End of repitition 29: RAM Usage: 52804 MB
Start of repitition 30: RAM Usage: 2096 MB
End of repitition 30: RAM Usage: 54166 MB
Start of repitition 1: RAM Usage: 3144 MB
End of repitition 1: RAM Usage: 9956 MB
Start of repitition 2: RAM Usage: 3144 MB
End of repitition 2: RAM Usage: 16927 MB
Start of repitition 3: RAM Usage: 3144 MB
End of repitition 3: RAM Usage: 17616 MB
Start of repitition 4: RAM Usage: 3144 MB
End of repitition 4: RAM Usage: 18228 MB
Start of repitition 5: RAM Usage: 3144 MB
End of repitition 5: RAM Usage: 18871 MB
Start of repitition 6: RAM Usage: 3144 MB
End of repitition 6: RAM Usage: 19637 MB
Start of repitition 7: RAM Usage: 3144 MB
End of repitition 7: RAM Usage: 35412 MB
Start of repitition 8: RAM Usage: 3144 MB
End of repitition 8: RAM Usage: 37551 MB
Start of repitition 9: RAM Usage: 3144 MB
End of repitition 9: RAM Usage: 39690 MB
Start of repitition 10: RAM Usage: 3144 MB
End of repitition 10: RAM Usage: 41829 MB
Start of repitition 11: RAM Usage: 3144 MB
End of repitition 11: RAM Usage: 43968 MB
Start of repitition 12: RAM Usage: 3144 MB
End of repitition 12: RAM Usage: 46107 MB
Start of repitition 13: RAM Usage: 3144 MB
End of repitition 13: RAM Usage: 48246 MB
Start of repitition 14: RAM Usage: 3144 MB
End of repitition 14: RAM Usage: 50385 MB
Start of repitition 15: RAM Usage: 3144 MB
End of repitition 15: RAM Usage: 52524 MB
Start of repitition 16: RAM Usage: 3144 MB
End of repitition 16: RAM Usage: 54663 MB
Start of repitition 17: RAM Usage: 3144 MB
End of repitition 17: RAM Usage: 56802 MB
Start of repitition 18: RAM Usage: 3144 MB
End of repitition 18: RAM Usage: 58941 MB
