Start of repetition 3: Goroutines: %!d(string=%Cpu(s):  4.8 us,  4.8 sy,  0.0 ni, 90.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
%Cpu(s):  0.2 us,  0.2 sy,  0.0 ni, 99.3 id,  0.0 wa,  0.0 hi,  0.2 si,  0.0 st
%Cpu(s): 16.9 us,  2.7 sy,  0.0 ni, 79.6 id,  0.2 wa,  0.0 hi,  0.5 si,  0.0 st
%Cpu(s): 18.2 us,  0.7 sy,  0.0 ni, 80.1 id,  0.0 wa,  0.0 hi,  1.0 si,  0.0 st)
Start of repetition 6: Goroutines: %!d(string=%Cpu(s):  4.7 us,  4.7 sy,  0.0 ni, 90.6 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
%Cpu(s):  0.5 us,  0.2 sy,  0.0 ni, 99.3 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
%Cpu(s):  0.5 us,  0.2 sy,  0.0 ni, 99.0 id,  0.0 wa,  0.0 hi,  0.2 si,  0.0 st
%Cpu(s): 16.9 us,  2.7 sy,  0.0 ni, 79.7 id,  0.2 wa,  0.0 hi,  0.5 si,  0.0 st
%Cpu(s): 18.4 us,  1.0 sy,  0.0 ni, 79.7 id,  0.0 wa,  0.0 hi,  1.0 si,  0.0 st)
Start of repetition 7: Goroutines: %!d(string=%Cpu(s):  3.2 us,  3.2 sy,  0.0 ni, 93.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
%Cpu(s):  0.7 us,  0.2 sy,  0.0 ni, 99.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
%Cpu(s):  0.2 us,  0.2 sy,  0.0 ni, 99.3 id,  0.0 wa,  0.0 hi,  0.2 si,  0.0 st
%Cpu(s): 16.9 us,  2.7 sy,  0.0 ni, 79.7 id,  0.2 wa,  0.0 hi,  0.5 si,  0.0 st
%Cpu(s): 18.4 us,  1.0 sy,  0.0 ni, 79.7 id,  0.0 wa,  0.0 hi,  1.0 si,  0.0 st)
End of repetition 5: Goroutines: %!d(string=%Cpu(s): 15.9 us,  3.2 sy,  0.0 ni, 79.4 id,  0.0 wa,  0.0 hi,  1.6 si,  0.0 st
%Cpu(s):  2.2 us,  0.5 sy,  0.0 ni, 97.2 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
%Cpu(s): 13.2 us,  1.2 sy,  0.0 ni, 85.1 id,  0.0 wa,  0.0 hi,  0.5 si,  0.0 st
%Cpu(s): 12.7 us,  1.0 sy,  0.0 ni, 86.1 id,  0.0 wa,  0.0 hi,  0.2 si,  0.0 st
%Cpu(s):  2.8 us,  0.8 sy,  0.0 ni, 96.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st)
End of repetition 8: Goroutines: %!d(string=%Cpu(s): 11.3 us,  3.2 sy,  0.0 ni, 83.9 id,  0.0 wa,  0.0 hi,  1.6 si,  0.0 st
%Cpu(s):  2.5 us,  0.5 sy,  0.0 ni, 97.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
%Cpu(s): 13.2 us,  1.2 sy,  0.0 ni, 85.1 id,  0.0 wa,  0.0 hi,  0.5 si,  0.0 st
%Cpu(s): 12.4 us,  1.0 sy,  0.0 ni, 86.3 id,  0.0 wa,  0.0 hi,  0.2 si,  0.0 st
%Cpu(s):  3.0 us,  1.0 sy,  0.0 ni, 96.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st)
End of repetition 6: Goroutines: %!d(string=%Cpu(s): 11.1 us,  3.2 sy,  0.0 ni, 84.1 id,  0.0 wa,  0.0 hi,  1.6 si,  0.0 st
%Cpu(s):  2.5 us,  0.2 sy,  0.0 ni, 97.2 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
%Cpu(s): 13.2 us,  1.2 sy,  0.0 ni, 85.1 id,  0.0 wa,  0.0 hi,  0.5 si,  0.0 st
%Cpu(s): 12.4 us,  1.0 sy,  0.0 ni, 86.3 id,  0.0 wa,  0.0 hi,  0.2 si,  0.0 st
%Cpu(s):  3.2 us,  1.0 sy,  0.0 ni, 95.8 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st)
End of repetition 7: Goroutines: %!d(string=%Cpu(s): 11.3 us,  1.6 sy,  0.0 ni, 85.5 id,  0.0 wa,  0.0 hi,  1.6 si,  0.0 st
%Cpu(s):  2.5 us,  0.2 sy,  0.0 ni, 97.2 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
%Cpu(s): 13.2 us,  1.2 sy,  0.0 ni, 85.1 id,  0.0 wa,  0.0 hi,  0.5 si,  0.0 st
%Cpu(s): 12.4 us,  1.0 sy,  0.0 ni, 86.4 id,  0.0 wa,  0.0 hi,  0.2 si,  0.0 st
%Cpu(s):  3.2 us,  1.2 sy,  0.0 ni, 95.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st)
Start of repetition 9: Goroutines: %!d(string=%Cpu(s): 11.3 us,  6.5 sy,  0.0 ni, 80.6 id,  0.0 wa,  0.0 hi,  1.6 si,  0.0 st
%Cpu(s):  7.0 us,  0.5 sy,  0.0 ni, 92.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
%Cpu(s): 11.9 us,  1.2 sy,  0.0 ni, 86.3 id,  0.0 wa,  0.0 hi,  0.5 si,  0.0 st
%Cpu(s):  9.2 us,  0.5 sy,  0.0 ni, 89.8 id,  0.0 wa,  0.0 hi,  0.5 si,  0.0 st
%Cpu(s): 18.0 us,  1.2 sy,  0.0 ni, 79.8 id,  0.0 wa,  0.0 hi,  1.0 si,  0.0 st)
Start of repetition 10: Goroutines: %!d(string=%Cpu(s): 11.5 us,  3.3 sy,  0.0 ni, 83.6 id,  0.0 wa,  0.0 hi,  1.6 si,  0.0 st
%Cpu(s):  6.7 us,  0.7 sy,  0.0 ni, 92.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
%Cpu(s): 12.0 us,  1.0 sy,  0.0 ni, 86.5 id,  0.0 wa,  0.0 hi,  0.5 si,  0.0 st
%Cpu(s):  9.2 us,  0.5 sy,  0.0 ni, 89.8 id,  0.0 wa,  0.0 hi,  0.5 si,  0.0 st
%Cpu(s): 18.1 us,  1.5 sy,  0.0 ni, 79.2 id,  0.0 wa,  0.0 hi,  1.2 si,  0.0 st)
Start of repetition 12: Goroutines: %!d(string=%Cpu(s): 11.5 us,  1.6 sy,  0.0 ni, 85.2 id,  0.0 wa,  0.0 hi,  1.6 si,  0.0 st
%Cpu(s):  6.5 us,  0.7 sy,  0.0 ni, 92.8 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
